Spanish,English,yo,tu,el,nosotros,vosotros,ellos
aprender,to learn,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden
creer,to believe,creo,crees,cree,creemos,creéis,creen
poseer,to possess / own,poseo,posees,posee,poseemos,poseéis,poseen
beber,to drink,bebo,bebes,bebe,bebemos,bebéis,beben
deber,to have / owe,debo,debes,debe,debemos,debéis,deben
prometer,to promise,prometo,prometes,promete,prometemos,prometéis,prometen
comer,to eat,como,comes,come,comemos,coméis,comen
esconder,to hide,escondo,escondes,esconde,escondemos,escondéis,esconden
romper,to break,rompo,rompes,rompe,rompemos,rompéis,rompen
comprender,to understand / comprehend,comprendo,comprendes,comprende,comprendemos,comprendéis,comprenden
leer,to read,leo,lees,lee,leemos,leéis,leen
temer,to fear,temo,temes,teme,tememos,teméis,temen
correr,to run,corro,corres,corre,corremos,corréis,corren
meter,to put (into),meto,metes,mete,metemos,metéis,meten
vender,to sell,vendo,vendes,vende,vendemos,vendéis,venden
